"fish_table_id","anem_table_id","fish_obs_time","fish_spp","size","color","sex","fin_id","sample_id","tag_id","recap","fish_notes","fish_collector","fish_correction","fish_corr_date","fish_corr_editor","fish_corr_message"
7683,7385,NULL,"APCL",3.5,"YR","J",337,"APCL16_337",NULL,NULL,NULL,"MRS","Y","2017-08-14","MRS","This sample_id was missing from the original excel spreadsheet but was written on the datasheet at 12:02 on dive 34 on 5/29/16.  Added to database in 2017."
487,399,NULL,"APCL",3.5,"W","J",236,"APCL12_236",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
31,15,NULL,"APCL",3.1,NULL,NULL,19,"APCL12_019",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2510,2130,NULL,"APCL",5.5,"Y","J",245,"APCL14_245",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
6057,6473,NULL,"APCL",3.5,"W","J",49,"APCL15_049",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1667,1526,NULL,"APCL",3.4,"WP","J",611,"APCL13_611",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2705,2235,NULL,"APCL",4.8,"WR","J",363,"APCL14_363",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2833,2389,NULL,"APCL",8.8,"YP","F",330,"APCL14_330",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
965,860,NULL,"APCL",4,"W","J",199,"APCL13_199",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2961,2501,NULL,"APCL",4.1,"YR","J",465,"APCL14_465",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1644,1501,NULL,"APCL",9.7,"YP","F",595,"APCL13_595",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1900,1780,NULL,"APCL",10.1,"O","M",33,"APCL14_033",NULL,NULL,"oldAnemID written as 78 on datasheet, but 78 was seen in a later dive. This one was close to 76.","MLP",NULL,NULL,NULL,NULL
1805,1736,NULL,"APCL",4.6,"W","J",12,"APCL14_012",NULL,NULL,"anemone is 280<cb>? from 3.5m in Fixed transect 2","MLP",NULL,NULL,NULL,NULL
2127,1895,NULL,"APCL",6.6,"W","J",118,"APCL14_118",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
273,248,NULL,"APCL",7.5,"O","M",121,"APCL12_121",NULL,NULL,"Orange-edged tail","MLP",NULL,NULL,NULL,NULL
2303,1994,NULL,"APCL",4.2,"WR","J",161,"APCL14_161",NULL,NULL,"Pair looked like they were courting, no extract, this is part of that contaminated sample group","MRS",NULL,NULL,NULL,NULL
2311,1997,NULL,"APCL",3.9,"YR","J",164,"APCL14_164",NULL,NULL,"no extract because extract believed to be contaminated","MRS",NULL,NULL,NULL,NULL
157,93,NULL,"APCL",4.7,NULL,NULL,80,"APCL12_080",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1798,1732,NULL,"APCL",3.9,"YR","J",10,"APCL14_010",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3089,2577,NULL,"APCL",9.7,"O","M",518,"APCL14_518",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2983,2514,NULL,"APCL",8.4,"YP","F",472,"APCL14_472",NULL,NULL,"AND ALSO A SNAKE, I THINK (actually a goatfish)","MRS",NULL,NULL,NULL,NULL
3081,2573,NULL,"APCL",4.2,"YR","J",517,"APCL14_517",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3079,2572,NULL,"APCL",8.2,"YP","F",515,"APCL14_515",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1807,1737,NULL,"APCL",3.7,"YR","J",13,"APCL14_013",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1814,1739,NULL,"APCL",3.6,"YR","J",16,"APCL14_016",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
456,381,NULL,"APCL",4.8,"Y","J",229,"APCL12_229",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3143,2613,NULL,"APCL",5.2,"Y","J",537,"APCL14_537",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1600,1478,NULL,"APCL",9.4,"O","M",568,"APCL13_568",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1101,981,NULL,"APCL",3,"BW","J",281,"APCL13_281",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1624,1491,NULL,"APCL",3.6,"YR","J",585,"APCL13_585",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1662,1513,NULL,"APCL",3.3,"YR","J",607,"APCL13_607",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1664,1517,NULL,"APCL",3.3,"BW","J",608,"APCL13_608",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1665,1524,NULL,"APCL",4.2,"W","J",609,"APCL13_609",NULL,NULL,"seem to be on outer reef edge here","MLP",NULL,NULL,NULL,NULL
1691,1573,NULL,"APCL",2.5,"BW","J",627,"APCL13_627",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1716,1599,NULL,"APCL",2.6,"YR","J",645,"APCL13_645",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1221,1213,NULL,"APCL",7.4,"O","M",339,"APCL13_339",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
27,13,NULL,"APCL",9.8,NULL,NULL,17,"APCL12_017",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1758,1697,NULL,"APCL",4,"W","J",663,"APCL13_663",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1759,1698,NULL,"APCL",3,"W","J",664,"APCL13_664",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
438,369,NULL,"APCL",3.6,"Y","J",222,"APCL12_222",NULL,NULL,"Tail on #225 was all orange, not just the edges (though base was white)","MLP",NULL,NULL,NULL,NULL
440,369,NULL,"APCL",9.9,"O","M",225,"APCL12_225",NULL,NULL,"Tail on #225 was all orange, not just the edges (though base was white)","MLP",NULL,NULL,NULL,NULL
442,371,NULL,"APCL",9.3,"O","M",228,"APCL12_228",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
446,373,NULL,"APCL",6.4,"Y","J",226,"APCL12_226",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3077,2570,NULL,"APCL",4.1,"W","J",514,"APCL14_514",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
448,375,NULL,"APCL",7.7,"O","M",227,"APCL12_227",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
457,381,NULL,"APCL",8.3,"O","M",230,"APCL12_230",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1069,931,NULL,"APCL",3.7,"YR","J",272,"APCL13_272",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1349,1319,NULL,"APCL",4.4,"YR","J",417,"APCL13_417",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
467,386,NULL,"APCL",9.6,"O","M",233,"APCL12_233",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
469,387,NULL,"APCL",5.3,"Y","J",234,"APCL12_234",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1381,1348,NULL,"APPE",8.9,NULL,NULL,431,"APCL13_431",NULL,NULL,"Probably female because large","MLP",NULL,NULL,NULL,NULL
2298,1993,NULL,"APCL",8.9,"YP","F",157,"APCL14_157",NULL,NULL,"no extract, this is part of that contaminated sample group","MRS",NULL,NULL,NULL,NULL
488,400,NULL,"APCL",4.2,"Y","J",237,"APCL12_237",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
489,401,NULL,"APCL",8.6,"O","M",238,"APCL12_238",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
511,423,NULL,"APCL",4.5,"Y","J",248,"APCL12_248",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
441,370,NULL,"APCL",9.2,"O","M",224,"APCL12_224",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
439,369,NULL,"APCL",5.6,"Y","J",223,"APCL12_223",NULL,NULL,"Tail on #225 was all orange, not just the edges (though base was white)","MLP",NULL,NULL,NULL,NULL
1689,1571,NULL,"APCL",2.8,"YR","J",625,"APCL13_625",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1687,1570,NULL,"APCL",2.7,"YR","J",623,"APCL13_623",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
26,13,NULL,"APCL",8.9,NULL,NULL,1,"APCL12_001",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8199,7942,NULL,"APCL",4.8,"YR","J",703,"APCL16_703",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
152,90,NULL,"APCL",5.3,NULL,NULL,65,"APCL12_065",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3140,2610,NULL,"APCL",4.5,"Y","J",535,"APCL14_535",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
