"collector","fish_obs_time","fish_spp","size",anem_table_id,"obs_notes",est_table_id
"MRS, G_S","09:26:00","APCL","9",7532,"APPE 3. 0, 5",1
"G_S","10:35:08","APPE","9",8102,NULL,2
"G_S","10:39:40","APPE","5",8103,NULL,3
"G_S","10:40:32","APPE","7",8104,NULL,4
"G_S","10:43:29","APPE","8",8105,NULL,5
"G_S","10:44:30","APPE","5",8106,NULL,6
"G_S","10:45:00","APPE","6",8107,NULL,7
"G_S","10:45:43","APPE","4",8108,NULL,8
"G_S","10:46:47","APPE","3",8109,NULL,9
"G_S","10:48:17","APCL","10",8111,NULL,10
"G_S","10:48:17","APPE","9",8112,NULL,11
"G_S","11:00:40","APCL","11",8113,NULL,12
"G_S","11:10:43","APCL","13",8114,NULL,13
"G_S","11:17:30","APCL","9",8115,NULL,14
"G_S","11:27:40","APCL","10",8117,NULL,15
"G_S","11:34:32","APCL","9",8118,NULL,16
"G_S","11:43:02","APCL","2",8119,NULL,17
"G_S","11:49:36","APCL","2",8120,NULL,18
"G_S","11:55:12","APCL","2",8121,NULL,19
"G_S","12:14:18","APCL","8",8122,NULL,20
"G_S","12:24:06","APCL","5",8123,NULL,21
"G_S","12:28:35","APCL","10",8124,NULL,22
"G_S","14:14:10","APCL","8",8126,NULL,23
"G_S","14:19:13","APCL","4",8127,NULL,24
"G_S","14:26:07","APCL","7",8128,NULL,25
"G_S","14:31:35","APCL","9",8129,NULL,26
"G_S","14:47:43","APCL","9",8131,NULL,27
"G_S","14:57:10","APCL","10",8132,NULL,28
"G_S","15:11:07","APCL","5",8133,NULL,29
"G_S","09:46:46","APCL","8",8134,NULL,30
"G_S","09:56:42","APCL","8",8135,NULL,31
"G_S","10:06:26","APCL","3",8136,NULL,32
"G_S","10:14:24","APCL","6",8137,NULL,33
"G_S","10:23:40","APCL","7",8138,NULL,34
"G_S","10:34:32","APCL","7",8139,NULL,35
"G_S","10:50:36","APCL","5",8140,NULL,36
"G_S","10:58:22","APCL","8",8141,NULL,37
"G_S","11:11:28","APCL","10",8142,NULL,38
"G_S","11:23:35","APCL","5",8143,NULL,39
"G_S","11:33:52","APCL","5",8144,NULL,40
"G_S","09:36:20","APCL","11",8145,NULL,41
"G_S","09:47:42","APCL","3",8146,NULL,42
"G_S","10:01:00","APFR","2",8147,NULL,43
"G_S","10:01:02","APCL","11",8148,NULL,44
"G_S","10:05:15","APCL","4",8149,NULL,45
"G_S","10:19:33","APCL","7",8150,NULL,46
"G_S","10:21:22","APCL","4",8151,NULL,47
"G_S","10:29:58","APCL","11",8152,NULL,48
"G_S","10:43:45","APCL","11",8153,NULL,49
"G_S","10:48:17","APCL","3",8154,NULL,50
"G_S","10:58:10","APCL","2",8155,NULL,51
"G_S","11:03:02","APCL","2",8156,NULL,52
"G_S","11:13:17","APCL","9",8157,NULL,53
"G_S","12:35:34","APCL","9",8158,NULL,54
"G_S","12:40:47","APCL","7",8159,NULL,55
"G_S","12:51:56","APCL","5",8160,NULL,56
"G_S","12:57:32","APCL","6",8161,NULL,57
"G_S","13:01:25","APCL","6",8162,NULL,58
"G_S","13:10:55","APCL","7",8163,NULL,59
"G_S","13:23:24","APCL","9",8164,NULL,60
"G_S","13:29:51","APCL","3",8165,NULL,61
"G_S","13:41:55","APCL","2",8166,NULL,62
"G_S","13:59:05","APCL","7",8167,NULL,63
"G_S","14:08:25","APCL","11",8168,NULL,64
"G_S","14:13:05","APCL","7",8169,NULL,65
"G_S","14:25:45","APCL","9",8170,NULL,66
"G_S","14:34:16","APCL","1",8171,NULL,67
"G_S","09:55:20","APCL","1",8172,NULL,68
"G_S","10:05:45","APCL","4",8173,NULL,69
"G_S","10:15:26","APCL","10",8174,NULL,70
"G_S","10:22:20","APCL","10",8175,NULL,71
"G_S","10:35:32","APCL","9",8176,NULL,72
"G_S","10:41:13","APCL","3",8177,NULL,73
"G_S","11:07:46","APCL","1",8178,NULL,74
"MLP","10:08:00","APPE","2",8179,NULL,75
"MLP","10:21:00","APPE","2",8180,NULL,76
"MLP","10:24:00","APPE","4",8182,NULL,77
"MLP","10:29:00","APCL","3",8183,NULL,78
"MLP","10:32:00","APPE","3",8184,NULL,79
"MLP","10:34:00","APPE","4",8185,NULL,80
"MLP","10:35:00","APCL","12. 12",8186,NULL,81
"MLP","10:40:00","APCL","1",8187,NULL,82
"MRS","10:41:00","APPE","5",8188,NULL,83
"MLP","10:44:00","APPE","6",8189,NULL,84
"MLP","10:46:00","APCL","12",8190,NULL,85
"MLP","10:51:00","APCL","6",8191,"BLACK, APSA 2, APPE 3",86
"MLP","10:51:00","APPE","3",8193,NULL,87
"MLP","10:57:00","APCL","9",8194,"APPE 3",88
"MLP","11:40:00","APPE","4",8195,"APCL 1",89
"MLP","11:47:00","APPE","5",8197,NULL,90
